,0
sulphates,0.028674060124154264
volatile acidity,0.015435586245379052
alcohol,0.01392201994838526
sulphates_chlorides_ratio,0.013622096672944077
alcohol_density_ratio,0.012282904373299803
citric acid,0.0064448629420380465
fixed acidity,0.005255632280114357
density,0.004456999372253601
pH,0.003752528422961528
total_acidity,0.0033898305084745597
total sulfur dioxide,0.002315686684801525
residual sugar,0.0023156866848015175
free sulfur dioxide,0.001433354258212986
free_sulfur_ratio,0.0010532189439910226
chlorides,-0.0011648183022948085
